id,session_id,rssi,ssid,timestamp,robot_id,loc_x,loc_y,rank,ssid_loc_y,ssid_loc_x
807,0709183711robot6,-79,zotacC4,2015-07-09 18:37:13,robot6,4348,250,4.0,1280,4900
814,0709183718robot6,-74,zotacC2,2015-07-09 18:37:19,robot6,4348,250,0.0,560,4900
815,0709183718robot6,-79,zotacD4,2015-07-09 18:37:19,robot6,4348,250,1.0,1280,4300
816,0709183718robot6,-80,zotacB3,2015-07-09 18:37:19,robot6,4348,250,2.0,920,5500
817,0709183718robot6,-77,zotacB1,2015-07-09 18:37:19,robot6,4348,250,3.0,200,5500
818,0709183718robot6,-80,zotacC4,2015-07-09 18:37:19,robot6,4348,250,4.0,1280,4900
826,0709183724robot6,-79,zotacC2,2015-07-09 18:37:26,robot6,4348,250,0.0,560,4900
827,0709183724robot6,-79,zotacD4,2015-07-09 18:37:26,robot6,4348,250,1.0,1280,4300
828,0709183724robot6,-81,zotacB3,2015-07-09 18:37:26,robot6,4348,250,2.0,920,5500
829,0709183724robot6,-77,zotacB1,2015-07-09 18:37:26,robot6,4348,250,3.0,200,5500
830,0709183724robot6,-80,zotacC4,2015-07-09 18:37:26,robot6,4348,250,4.0,1280,4900
839,0709183731robot6,-75,zotacC2,2015-07-09 18:37:32,robot6,4349,321,0.0,560,4900
840,0709183731robot6,-79,zotacD4,2015-07-09 18:37:32,robot6,4349,321,1.0,1280,4300
841,0709183731robot6,-78,zotacB3,2015-07-09 18:37:32,robot6,4349,321,2.0,920,5500
842,0709183731robot6,-77,zotacB1,2015-07-09 18:37:32,robot6,4349,321,3.0,200,5500
843,0709183731robot6,-80,zotacC4,2015-07-09 18:37:32,robot6,4349,321,4.0,1280,4900
852,0709183737robot6,-75,zotacC2,2015-07-09 18:37:39,robot6,4349,351,0.0,560,4900
853,0709183737robot6,-79,zotacD4,2015-07-09 18:37:39,robot6,4349,351,1.0,1280,4300
854,0709183737robot6,-80,zotacB3,2015-07-09 18:37:39,robot6,4349,351,2.0,920,5500
855,0709183737robot6,-77,zotacB1,2015-07-09 18:37:39,robot6,4349,351,3.0,200,5500
856,0709183737robot6,-79,zotacC4,2015-07-09 18:37:39,robot6,4349,351,4.0,1280,4900
866,0709183744robot6,-75,zotacC2,2015-07-09 18:37:45,robot6,4349,351,0.0,560,4900
867,0709183744robot6,-79,zotacD4,2015-07-09 18:37:45,robot6,4349,351,1.0,1280,4300
868,0709183744robot6,-80,zotacB3,2015-07-09 18:37:45,robot6,4349,351,2.0,920,5500
869,0709183744robot6,-79,zotacB1,2015-07-09 18:37:45,robot6,4349,351,3.0,200,5500
870,0709183744robot6,-77,zotacC4,2015-07-09 18:37:45,robot6,4349,351,4.0,1280,4900
880,0709183750robot6,-72,zotacC2,2015-07-09 18:37:52,robot6,4350,384,0.0,560,4900
881,0709183750robot6,-76,zotacD4,2015-07-09 18:37:52,robot6,4350,384,1.0,1280,4300
882,0709183750robot6,-78,zotacB3,2015-07-09 18:37:52,robot6,4350,384,2.0,920,5500
883,0709183750robot6,-79,zotacB1,2015-07-09 18:37:52,robot6,4350,384,3.0,200,5500
884,0709183750robot6,-74,zotacC4,2015-07-09 18:37:52,robot6,4350,384,4.0,1280,4900
893,0709183757robot6,-72,zotacC2,2015-07-09 18:37:58,robot6,4349,450,0.0,560,4900
894,0709183757robot6,-79,zotacD4,2015-07-09 18:37:58,robot6,4349,450,1.0,1280,4300
895,0709183757robot6,-78,zotacB3,2015-07-09 18:37:58,robot6,4349,450,2.0,920,5500
896,0709183757robot6,-79,zotacB1,2015-07-09 18:37:58,robot6,4349,450,3.0,200,5500
897,0709183757robot6,-76,zotacC4,2015-07-09 18:37:58,robot6,4349,450,4.0,1280,4900
905,0709183803robot6,-71,zotacC2,2015-07-09 18:38:05,robot6,4349,450,0.0,560,4900
906,0709183803robot6,-78,zotacD4,2015-07-09 18:38:05,robot6,4349,450,1.0,1280,4300
907,0709183803robot6,-78,zotacB3,2015-07-09 18:38:05,robot6,4349,450,2.0,920,5500
908,0709183803robot6,-79,zotacB1,2015-07-09 18:38:05,robot6,4349,450,3.0,200,5500
909,0709183803robot6,-76,zotacC4,2015-07-09 18:38:05,robot6,4349,450,4.0,1280,4900
918,0709183810robot6,-71,zotacC2,2015-07-09 18:38:11,robot6,4349,450,0.0,560,4900
919,0709183810robot6,-78,zotacD4,2015-07-09 18:38:11,robot6,4349,450,1.0,1280,4300
920,0709183810robot6,-78,zotacB3,2015-07-09 18:38:11,robot6,4349,450,2.0,920,5500
921,0709183810robot6,-79,zotacB1,2015-07-09 18:38:11,robot6,4349,450,3.0,200,5500
922,0709183810robot6,-76,zotacC4,2015-07-09 18:38:11,robot6,4349,450,4.0,1280,4900
930,0709183816robot6,-70,zotacC2,2015-07-09 18:38:18,robot6,4349,542,0.0,560,4900
931,0709183816robot6,-78,zotacD4,2015-07-09 18:38:18,robot6,4349,542,1.0,1280,4300
932,0709183816robot6,-77,zotacB3,2015-07-09 18:38:18,robot6,4349,542,2.0,920,5500
933,0709183816robot6,-78,zotacB1,2015-07-09 18:38:18,robot6,4349,542,3.0,200,5500
934,0709183816robot6,-74,zotacC4,2015-07-09 18:38:18,robot6,4349,542,4.0,1280,4900
943,0709183823robot6,-71,zotacC2,2015-07-09 18:38:24,robot6,4349,551,0.0,560,4900
944,0709183823robot6,-78,zotacD4,2015-07-09 18:38:24,robot6,4349,551,1.0,1280,4300
945,0709183823robot6,-77,zotacB3,2015-07-09 18:38:24,robot6,4349,551,2.0,920,5500
946,0709183823robot6,-78,zotacB1,2015-07-09 18:38:24,robot6,4349,551,3.0,200,5500
947,0709183823robot6,-73,zotacC4,2015-07-09 18:38:24,robot6,4349,551,4.0,1280,4900
956,0709183829robot6,-73,zotacC2,2015-07-09 18:38:31,robot6,4349,551,0.0,560,4900
957,0709183829robot6,-77,zotacD4,2015-07-09 18:38:31,robot6,4349,551,1.0,1280,4300
958,0709183829robot6,-80,zotacB3,2015-07-09 18:38:31,robot6,4349,551,2.0,920,5500
959,0709183829robot6,-78,zotacB1,2015-07-09 18:38:31,robot6,4349,551,3.0,200,5500
960,0709183829robot6,-73,zotacC4,2015-07-09 18:38:31,robot6,4349,551,4.0,1280,4900
969,0709183836robot6,-68,zotacC2,2015-07-09 18:38:37,robot6,4350,603,0.0,560,4900
970,0709183836robot6,-74,zotacD4,2015-07-09 18:38:37,robot6,4350,603,1.0,1280,4300
971,0709183836robot6,-80,zotacB3,2015-07-09 18:38:37,robot6,4350,603,2.0,920,5500
972,0709183836robot6,-75,zotacB1,2015-07-09 18:38:37,robot6,4350,603,3.0,200,5500
973,0709183836robot6,-73,zotacC4,2015-07-09 18:38:37,robot6,4350,603,4.0,1280,4900
982,0709183842robot6,-71,zotacC2,2015-07-09 18:38:44,robot6,4350,650,0.0,560,4900
983,0709183842robot6,-76,zotacD4,2015-07-09 18:38:44,robot6,4350,650,1.0,1280,4300
984,0709183842robot6,-79,zotacB3,2015-07-09 18:38:44,robot6,4350,650,2.0,920,5500
985,0709183842robot6,-77,zotacB1,2015-07-09 18:38:44,robot6,4350,650,3.0,200,5500
986,0709183842robot6,-74,zotacC4,2015-07-09 18:38:44,robot6,4350,650,4.0,1280,4900
996,0709183849robot6,-74,zotacC2,2015-07-09 18:38:50,robot6,4350,650,0.0,560,4900
997,0709183849robot6,-76,zotacD4,2015-07-09 18:38:50,robot6,4350,650,1.0,1280,4300
998,0709183849robot6,-79,zotacB3,2015-07-09 18:38:50,robot6,4350,650,2.0,920,5500
999,0709183849robot6,-79,zotacB1,2015-07-09 18:38:50,robot6,4350,650,3.0,200,5500
1000,0709183849robot6,-74,zotacC4,2015-07-09 18:38:50,robot6,4350,650,4.0,1280,4900
1010,0709183855robot6,-72,zotacC2,2015-07-09 18:38:57,robot6,4349,660,0.0,560,4900
1011,0709183855robot6,-78,zotacD4,2015-07-09 18:38:57,robot6,4349,660,1.0,1280,4300
1012,0709183855robot6,-76,zotacB3,2015-07-09 18:38:57,robot6,4349,660,2.0,920,5500
1013,0709183855robot6,-78,zotacB1,2015-07-09 18:38:57,robot6,4349,660,3.0,200,5500
1014,0709183855robot6,-77,zotacC4,2015-07-09 18:38:57,robot6,4349,660,4.0,1280,4900
1024,0709183902robot6,-69,zotacC2,2015-07-09 18:39:03,robot6,4349,751,0.0,560,4900
1025,0709183902robot6,-75,zotacD4,2015-07-09 18:39:03,robot6,4349,751,1.0,1280,4300
1026,0709183902robot6,-76,zotacB3,2015-07-09 18:39:03,robot6,4349,751,2.0,920,5500
1027,0709183902robot6,-78,zotacB1,2015-07-09 18:39:03,robot6,4349,751,3.0,200,5500
1028,0709183902robot6,-75,zotacC4,2015-07-09 18:39:03,robot6,4349,751,4.0,1280,4900
1039,0709183908robot6,-69,zotacC2,2015-07-09 18:39:10,robot6,4349,751,0.0,560,4900
1040,0709183908robot6,-75,zotacD4,2015-07-09 18:39:10,robot6,4349,751,1.0,1280,4300
1041,0709183908robot6,-77,zotacB3,2015-07-09 18:39:10,robot6,4349,751,2.0,920,5500
